=== 延迟检测日志 | 2026-03-25 14:28:59.902475 ===
[2026-03-25 14:28:59.903] [TCP预检开始] 节点总数=5147 | 并发=300
[2026-03-25 14:29:00.816] [TCP预检] ✅ 通过 | cdns.doon.eu.org:443 | 🇯🇵 日本 | JPN 5
[2026-03-25 14:29:01.080] [TCP预检] ✅ 通过 | outgoing-cockatoo.rooster465.autos:443 | 波兰 - 华沙 - 1
[2026-03-25 14:29:01.087] [TCP预检] ✅ 通过 | funky-platypus.rooster465.autos:443 | 波兰 - 华沙 - 2
[2026-03-25 14:29:01.120] [TCP预检] ✅ 通过 | top-goshawk.rooster465.autos:443 | 波兰 - 华沙 - 3
[2026-03-25 14:29:01.135] [TCP预检] ✅ 通过 | cf.zhetengsha.eu.org:443 | 🇯🇵 日本 | JPN 4
[2026-03-25 14:29:01.194] [TCP预检] ✅ 通过 | 103.181.164.145:54022 | 美國_1
[2026-03-25 14:29:01.195] [TCP预检] ✅ 通过 | 211.48.77.114:22410 | 美國節點_3
[2026-03-25 14:29:01.198] [TCP预检] ✅ 通过 | premium-lab.rooster465.autos:443 | 澳大利亚 - 悉尼 - 1
[2026-03-25 14:29:01.199] [TCP预检] ✅ 通过 | 211.48.77.114:19655 | 🇰🇷KR_1
[2026-03-25 14:29:01.737] [TCP预检] ❌ 失败 | 152.53.80.40:443 | AT_434a6_0002 | 原因: TimeoutError: 
[2026-03-25 14:29:01.738] [TCP预检] ❌ 失败 | 159.13.36.110:2443 | AU_434a6_0003 | 原因: TimeoutError: 
[2026-03-25 14:29:01.738] [TCP预检] ❌ 失败 | enhanced-crayfish.rooster465.autos:443 | AU_434a6_0004 | 原因: TimeoutError: 
[2026-03-25 14:29:01.739] [TCP预检] ❌ 失败 | 138.124.104.221:443 | CH_434a6_0005 | 原因: TimeoutError: 
[2026-03-25 14:29:01.740] [TCP预检] ❌ 失败 | 45.145.42.170:8005 | DE_434a6_0007 | 原因: TimeoutError: 
[2026-03-25 14:29:01.740] [TCP预检] ❌ 失败 | 94.156.116.254:51198 | FI_434a6_0008 | 原因: TimeoutError: 
[2026-03-25 14:29:01.741] [TCP预检] ❌ 失败 | 152.67.158.177:2443 | GB_434a6_0009 | 原因: TimeoutError: 
[2026-03-25 14:29:01.743] [TCP预检] ❌ 失败 | 62.60.237.240:443 | IR_434a6_0013 | 原因: TimeoutError: 
[2026-03-25 14:29:01.744] [TCP预检] ❌ 失败 | 103.214.168.247:39738 | JP_434a6_0014 | 原因: TimeoutError: 
[2026-03-25 14:29:01.745] [TCP预检] ❌ 失败 | 217.142.227.120:2443 | JP_434a6_0015 | 原因: TimeoutError: 
[2026-03-25 14:29:01.745] [TCP预检] ❌ 失败 | 220.71.1.32:20201 | KR_434a6_0018 | 原因: TimeoutError: 
[2026-03-25 14:29:01.746] [TCP预检] ❌ 失败 | 211.110.32.47:20000 | KR_434a6_0021 | 原因: TimeoutError: 
[2026-03-25 14:29:01.748] [TCP预检] ❌ 失败 | 118.35.208.37:11434 | KR_434a6_0026 | 原因: TimeoutError: 
[2026-03-25 14:29:01.748] [TCP预检] ❌ 失败 | 140.238.11.149:2443 | KR_434a6_0027 | 原因: TimeoutError: 
[2026-03-25 14:29:01.750] [TCP预检] ❌ 失败 | outgoing-ladybird.rooster465.autos:443 | PL_434a6_0029 | 原因: TimeoutError: 
[2026-03-25 14:29:01.750] [TCP预检] ❌ 失败 | fluent-stingray.crayfish192.xyz:443 | PL_434a6_0030 | 原因: TimeoutError: 
[2026-03-25 14:29:01.751] [TCP预检] ❌ 失败 | 68.183.227.4:8080 | SG_434a6_0035 | 原因: TimeoutError: 
[2026-03-25 14:29:01.753] [TCP预检] ❌ 失败 | 54.46.72.234:8025 | US_434a6_0039 | 原因: TimeoutError: 
[2026-03-25 14:29:01.758] [TCP预检] ❌ 失败 | 159.54.185.35:2443 | US_434a6_0060 | 原因: TimeoutError: 
[2026-03-25 14:29:01.763] [TCP预检] ❌ 失败 | 157.254.223.44:18959 | US_434a6_0067 | 原因: TimeoutError: 
[2026-03-25 14:29:01.767] [TCP预检] ❌ 失败 | 5.83.129.90:54177 | 🇩🇪 德国 | DEU | 原因: TimeoutError: 
[2026-03-25 14:29:01.768] [TCP预检] ❌ 失败 | ip1.758733.xyz:10088 | 🇩🇪 德国 | DEU 3 | 原因: TimeoutError: 
[2026-03-25 14:29:01.785] [TCP预检] ❌ 失败 | 103.186.155.19:38388 | 🇻🇳 越南 | VNM | 原因: TimeoutError: 
[2026-03-25 14:29:01.786] [TCP预检] ❌ 失败 | eternal-serval.rooster465.autos:443 | 爱尔兰 - 都柏林 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.787] [TCP预检] ❌ 失败 | saving-anemone.rooster465.autos:443 | 爱尔兰 - 都柏林 - 2 | 原因: TimeoutError: 
[2026-03-25 14:29:01.787] [TCP预检] ❌ 失败 | grown-goldfish.rooster465.autos:443 | 爱尔兰 - 都柏林 - 3 | 原因: TimeoutError: 
[2026-03-25 14:29:01.788] [TCP预检] ❌ 失败 | optimal-dane.rooster465.autos:443 | 爱尔兰 - 都柏林 - 4 | 原因: TimeoutError: 
[2026-03-25 14:29:01.788] [TCP预检] ❌ 失败 | dynamic-tiger.crayfish192.xyz:443 | 德国 - Frankfurt am Main - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.789] [TCP预检] ❌ 失败 | still-mastodon.rooster465.autos:443 | 法国 - 巴黎 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.789] [TCP预检] ❌ 失败 | sterling-dinosaur.rooster465.autos:443 | 法国 - 巴黎 - 2 | 原因: TimeoutError: 
[2026-03-25 14:29:01.790] [TCP预检] ❌ 失败 | prompt-duckling.rooster465.autos:443 | 法国 - 巴黎 - 3 | 原因: TimeoutError: 
[2026-03-25 14:29:01.791] [TCP预检] ❌ 失败 | 52.47.165.179:22223 | 法国 - 巴黎 - 4 | 原因: TimeoutError: 
[2026-03-25 14:29:01.791] [TCP预检] ❌ 失败 | 52.47.165.179:22222 | 法国 - 巴黎 - 5 | 原因: TimeoutError: 
[2026-03-25 14:29:01.791] [TCP预检] ❌ 失败 | sterling-fowl.rooster465.autos:443 | 韩国 - 首尔特别市 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.792] [TCP预检] ❌ 失败 | amused-peacock.rooster465.autos:443 | 韩国 - 首尔特别市 - 2 | 原因: TimeoutError: 
[2026-03-25 14:29:01.792] [TCP预检] ❌ 失败 | ready-lion.rooster465.autos:443 | 韩国 - 首尔特别市 - 3 | 原因: TimeoutError: 
[2026-03-25 14:29:01.793] [TCP预检] ❌ 失败 | powerful-squid.rooster465.autos:443 | 韩国 - 首尔特别市 - 4 | 原因: TimeoutError: 
[2026-03-25 14:29:01.793] [TCP预检] ❌ 失败 | 141.164.45.187:5498 | 韩国 - 首尔特别市 - 5 | 原因: TimeoutError: 
[2026-03-25 14:29:01.794] [TCP预检] ❌ 失败 | positive-bear.rooster465.autos:443 | 韩国 - 首尔特别市 - 6 | 原因: TimeoutError: 
[2026-03-25 14:29:01.794] [TCP预检] ❌ 失败 | 46.183.184.60:989 | 克罗地亚 - 萨格勒布 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.795] [TCP预检] ❌ 失败 | alert-sunbird.crayfish192.xyz:443 | 美国 - 波特蘭 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.795] [TCP预检] ❌ 失败 | healthy-ewe.rooster465.autos:443 | 美国 - 波特蘭 - 3 | 原因: TimeoutError: 
[2026-03-25 14:29:01.796] [TCP预检] ❌ 失败 | v4.hdacd.com:30804 | 美国 - 华盛顿特区 - 2 | 原因: TimeoutError: 
[2026-03-25 14:29:01.796] [TCP预检] ❌ 失败 | saving-octopus.rooster465.autos:443 | 日本 - 东京 - 1 | 原因: TimeoutError: 
[2026-03-25 14:29:01.797] [TCP预检] ❌ 失败 | sharp-feline.rooster465.autos:443 | 日本 - 东京 - 10 | 原因: TimeoutError: 
[2026-03-25 14:29:01.797] [TCP预检] ❌ 失败 | awake-shiner.rooster465.autos:443 | 日本 - 东京 - 11 | 原因: TimeoutError: 
[2026-03-25 14:29:01.798] [TCP预检] ❌ 失败 | optimal-penguin.rooster465.autos:443 | 日本 - 东京 - 12 | 原因: TimeoutError: 
[2026-03-25 14:29:01.798] [TCP预检] ❌ 失败 | enormous-whippet.rooster465.autos:443 | 日本 - 东京 - 13 | 原因: TimeoutError: 
[2026-03-25 14:29:01.799] [TCP预检] ❌ 失败 | prepared-hawk.rooster465.autos:443 | 日本 - 东京 - 14 | 原因: TimeoutError: 
[2026-03-25 14:29:01.800] [TCP预检] ❌ 失败 | darling-mongrel.rooster465.autos:443 | 日本 - 东京 - 15 | 原因: TimeoutError: 
[2026-03-25 14:29:01.800] [TCP预检] ❌ 失败 | moved-bluegill.rooster465.autos:443 | 日本 - 东京 - 16 | 原因: TimeoutError: 
[2026-03-25 14:29:01.801] [TCP预检] ❌ 失败 | definite-jennet.rooster465.autos:443 | 日本 - 东京 - 17 | 原因: TimeoutError: 
[2026-03-25 14:29:01.801] [TCP预检] ❌ 失败 | valued-mullet.rooster465.autos:443 | 日本 - 东京 - 18 | 原因: TimeoutError: 
[2026-03-25 14:29:01.802] [TCP预检] ❌ 失败 | hopeful-burro.rooster465.autos:443 | 日本 - 东京 - 19 | 原因: TimeoutError: 
[2026-03-25 14:29:01.802] [TCP预检] ❌ 失败 | diverse-thrush.rooster465.autos:443 | 日本 - 东京 - 2 | 原因: TimeoutError: 
[2026-03-25 14:29:01.803] [TCP预检] ❌ 失败 | evolving-platypus.rooster465.autos:443 | 日本 - 东京 - 20 | 原因: TimeoutError: 
